"%s","%s"
"%s already exist.","%s 已存在。"
"%s already exists.","%s 已存在。"
"-- Please Select --","-- 請選擇 --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style="" color:red""="">警告！</strong> 在使用CDN時，某些情況下如果CDN不再您的子域內，JavaScript可能無法正常工作"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style="" color:red""="">警告！</strong>當使用URL中存儲代碼，在某些情況 ​​下系統可能無法正常工作，如果沒有商店代碼的URL指定的第三方服務（例如貝寶等）。"
"A category object is required for determining the product request path.","為確定產品申請路徑，必須提供分類對象。"
"Add Block Names to Hints","新增塊名稱到提示中"
"Add Secret Key to URLs","新增密鑰Key到URL中"
"Add Store Code to Urls","新增店舖代碼到URL中"
"Admin","管理員"
"Admin Base URL","管理基本URL"
"Admin User Emails","管理用戶郵件"
"Advanced","進階"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","當選擇完新的媒體儲存位置,請按下同步按鈕讓系統將所有媒體檔案轉到此位置.媒體檔案通常不會立刻在新的位置,直到同步流程完成"
"Allow Countries","允許的國家"
"Allow Symlinks","允許的符號連結"
"Allowed IPs (comma separated)","允許的IP（逗號分割）"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","允許的文件類型：ICO圖標，PNG，GIF JPG，JPEG，APNG，SVG的。並非所有瀏覽器都支持所有這些格式！"
"Allows customers to stay logged in when switching between different stores.","允許客戶在不同店舖間切換時保持登錄。"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","輪換菜單中連結旁的候選文字。如果為空，則使用預設的箭頭圖片。"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","輪換菜單中上一個連結旁的候選文字。如果為空，則使用預設的箭頭圖片。"
"An error occurred while saving. Please review the error log.","在保存時出現了錯誤。請查看錯誤日誌。"
"Anchor Text for Next","下一個的錨點文字"
"Anchor Text for Previous","上一個的錨點文字"
"Anchor symbol (#) is not supported in request path","錨點符號（#）不能用于請求路徑中"
"Anchor symbol (#) is not supported in url rewrite suffix","URL 重寫尾碼不支持固定標誌 (#)"
"Are you sure?","您是否確認？"
"Auto-redirect to Base URL","自定重定向到基本 URL"
"Back","返回"
"Backup Options","備份選項"
"Base JavaScript URL","基本 JavaScript URL"
"Base Link URL","基本連結 URL"
"Base Media URL","基本媒體 URL"
"Base Secure URL","相應的安全網址"
"Base Skin URL","基本皮膚 URL"
"Base URL","備份URL"
"Base Unsecure URL","基地不安全的網址"
