"-OR-","-或-"
"2-pixel perimeter around the header space.","頭部空間周圍2像素的邊界"
"3D Secure","3D 安全"
"3D Secure Card Validation","3D 安全信用卡驗證"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro卡需要 3D 安全驗證。對美國運通卡的支持需要額外的協議。詳情請訪問 <a href="" http:="" www.paypal.com="" amexupdate""="">http://www.paypal.com/amexupdate</a>。"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href="" http:="" www.magentocommerce.com="" paypal""="">開始通過PayPal接受付款！</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","動態模式需要提供值。請參考您的CardinalCommerce 協議。"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH保證金（用作保證或其他調查用途）"
"ACH Deposit (Reversal)","ACH保證金（撤銷）"
"ACH Funding for Funds Recovery from Account Balance","來自帳戶餘額的返款恢復ACH返款"
"ACH Withdrawal","ACH撤銷"
"API Authentication Methods","API身份驗證方法"
"API Certificate","API證書"
"API Password","API密碼"
"API Signature","API簽名"
"API Username","API用戶名"
"API Uses Proxy","API使用代理"
"Ability for buyer to purchase without PayPal account.","買家在不使用PayPal帳戶下購買的能力。"
"Accept credit card and PayPal payments securely.","接受信用卡和PayPal付款安全。"
"Accept credit cards, debit cards and PayPal payments securely.","接受信用卡，借記卡和PayPal付款安全。"
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","接受付款的購物車中。Payflow網關通過PayPal將處理您的信用卡付款。"
"Accept payments with a PCI compliant checkout that keeps customers on your site.","與PCI兼容結帳，讓您的網站上的客戶接受付款。"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","與PCI兼容的結帳，讓您的網站上的客戶接受付款。"
"Accept payments with a completely customizable checkout page.","接受一個完全可定制的結帳頁面付款。"
"Accept payments with a completely customizable checkout.","接受一個完全可定制的收銀台付款。"
"Acceptance Mark","接受標誌"
"Acceptance Mark Image","接受標誌圖片"
"Account-to-Account Payment, initiated by PayPal","帳戶到帳戶支付，由PayPal開創"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","加入PayPal作為一個額外的付款方式結帳頁面，以增加您的銷售。"
"Add PayPal as an additional payment method to your checkout page.","添加貝寶作為附加付款方式結帳頁面。"
"Add another payment method to your existing solution or as a stand-alone option.","其他付款方式添加到您現有的解決方案，或作為一個獨立的選項。"
"Additional Options","其他選項"
"Address","地址"
"Address Verification System Response","地址驗證系統響應"
"Advanced Settings","高級設置"
"All the address information matched","所有地址資訊都匹配"
"Allow in Billing Agreement Wizard","允許使用記賬協議嚮導"
