"* Required Fields","* Campuri obligatorii"
"Comment","Comentariu"
"Contact Form","Formular Contact"
"Contact Information","Informatii Contact"
"Contact Us","Contactati-ne"
"Contact Us Form","Formular de contact"
"Contacts","Contacte"
"Contacts Section","Sectiunea Contacte"
"Email","Email"
"Email Options","Optiuni email"
"Email Sender","Expeditor mail"
"Email Template","Template email"
"Enable Contact Us","Activeaza pagina Contactati-ne"
"Name","Nume"
"Send Emails To","Trimite emailuri la"
"Submit","Valideaza"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Imposibil de trimis cererea dvs. Incercati mai tarziu.."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Cererea dvs ne-a fost trimisa si va fi tratata cat mai curand posibil. Merci!"
