"Actions","Actiuni"
"An error occurred while marking notification as read.","A aparut o eroare la marcarea notificarii ca citita."
"An error occurred while marking the messages as read.","A aparut o eroare la marcarea mesajelor ca citite."
"An error occurred while removing messages.","A aparut o eroare la stergerea mesajelor."
"An error occurred while removing the message.","A aparut o eroare la stergerea mesajului."
"Are you sure?","Esti sigur?"
"Date Added","Data adaugarii"
"Last Update","Ultima actualizare"
"Mark as Read","Marcheaza ca citit"
"Mark as read","Marcheaza ca citit"
"Message","Mesaje"
"Messages Inbox","Inbox mesaje"
"Notifications","Notificari"
"Please select messages.","Te rugam sa selectezi mesaje."
"Read Details","Citeste detalii"
"Remove","Sterge"
"Severity","Severitate"
"Show List","Afiseaza lista"
"Show Toolbar","Afiseaza Toolbar"
"The message has been marked as read.","Mesajul a fost marcat ca citit."
"The message has been removed.","Mesajul a fost sters."
"Total of %d record(s) have been marked as read.","%d inregistrari au fost marcate ca citite in total."
"Total of %d record(s) have been removed.","%d inregistrari au fost sterse in total."
"Unable to proceed. Please, try again.","Nu se poate continua. Te rugam sa incerci din nou."
"Update Frequency","Actualizeaza frecventa"
"Use HTTPS to Get Feed","Foloseste HTTPS pentru a obtine feed"
"Wrong message type","Tip mesaj eronat"
"critical","critic"
"major","major"
"minor","minor"
"notice","nota"
