"Action","செயல்"
"An error occurred while creating the backup.","backup செய்யும் போது ஒரு பிழை ஏற்பட்டுள்ளது."
"An error occurred while writing to the backup file ""%s"".","'%s"" backup கோப்பு எழுதும் போது ஒரு பிழை ஏற்பட்டுள்ளது."
"Are you sure you want to delete the selected backup(s)?","நீங்கள் தேர்வு செய்த backup கோப்புகளை அழித்து விடலாமா?"
"Backup Type","Backup வகை"
"Backup file ""%s"" cannot be read from or written to.","Backup கோப்பு '%s"" ஐ படிக்கவோ எழுதவோ முடியவில்லை."
"Backup file ""%s"" does not exist.","Backup கோப்பு '%s"" இல்லை."
"Backup file does not exist.","Backup கோப்பு  இல்லை."
"Backup file handler was unspecified.","Backup கோப்பு தொடுப்பான் தரப்படவில்லை."
"Backup file not found","Backup கோப்பு  இல்லை."
"Backup file path was not specified.","Backup கோப்பு PATH தரப்படவில்லை."
"Backups","Backups"
"Cannot read backup file.","Backup கோப்பை படிக்க முடியவில்லை."
"Create Backup","Backup செய்க."
"Database Backup","தகவல் தரவு backup"
"Database and Media Backup","தகவல் தரவு மற்றும் ஊடகம் backup"
"Database was successfuly backed up.","தகவல் தரவு வெற்றிகரமாக backup செய்யப்பட்டது."
"Download","பதிவிறக்கம்"
"Enable Scheduled Backup","குறித்த காலத்தில் backup செய்க."
"Failed to connect to FTP","FTP server உடன் தொடர்பு கொள்ள முடியவில்லை."
"Failed to delete one or several backups.","ஒன்று அல்லது மேறபட்ட backup கோப்புகளை அழிக்க முடியவில்லை."
"Failed to rollback","திரும்பப்பெற  இயலவில்லை "
"Failed to validate FTP"," FTP தொடர்பை  சரிபார்க்க இயலவில்லை "
"Frequency","அளவு , பைட்ஸ் "
"Invalid Password.","தவறான கடவுச்சொல்."
"Maintenance Mode","பராமரிப்பு நிலை "
"Name","பெயர்"
"Not enough free space to create backup.","காப்பெடுக்க போதிய வெற்றிடம் இல்லை "
"Not enough permissions to create backup.","backup செய்ய அனுமதி இல்லை"
"Not enough permissions to perform rollback","பழைய நிலைக்கு செல்ல அனுமதி இல்லை."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","""ஸ்டோரினை பராமரிப்பு நிலைக்கு  கொண்டு செல்க "" என்ற  விருப்பத்தினை கைவிடுக அல்லது இந்த செயலை செய்வதற்க்கு  தேவையான அனுமதி பெறுகவும் ."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","""ஸ்டோரினை பராமரிப்பு நிலைக்கு  கொண்டு செல்க "" என்ற  விருப்பத்தினை கைவிடுக அல்லது இந்த திரும்பப்பெறும் செயலை செய்வதற்க்கு  தேவையான அனுமதி பெறுகவும் ."
"Put store on the maintenance mode while backup's creation","காப்பு பனியின்பொது ஸ்டோரினை பராமரிப்பு நிலைக்கு  கொண்டு செல்க "
"Rollback","பழைய நிலை"
"Scheduled Backup Settings","backup செய்யும் காலம்"
"Size, Bytes","அளவு, பைட்ஸ் "
"Start Time","தொடக்க நேரம் "
"System Backup","கணினி காப்பு"
"System couldn't put store on the maintenance mode","ஸ்டோரினை பராமரிப்பு நிலைக்கு கொண்டு செல்ல இயலவில்லை "
"The database and media backup has been created.","தகவல் மற்றும் ஊடக காப்பு உருவாக்கப்பட்டது"
"The database backup has been created.","தரவுத்தள காப்பு உருவாக்கப்பட்டது"
"The file was compressed with Zlib, but this extension is not installed on server.","கோப்பு Zlib கொண்டு சுருக்கப்பட்டது , ஆனால் இந்த விரிவாக்க மென்பொருள்  சர்வரில் நிறுவப்படவில்லை."
"The selected backup(s) has been deleted.","நீங்கள் தேர்வு செய்த காப்பு(கள்) நீக்கப்பட்டது"
"The system (excluding Media) backup has been created.","தகவல் காப்பு (உடக காப்பினை தவிர்த்து) உருவாக்கப்பட்டது"
"The system backup has been created.","கணினி காப்பு உருவாக்கப்பட்டது."
"Time","நேரம்"
"Type","வகை "
"Unable to create backup. Please, try again later.","காப்பு உருவாக்க முடியவில்லை. தயவு செய்து, பின்னர் மீண்டும் முயற்சி செய்யவும் ."
"Unable to save the cron expression.","க்ரான்  எக்ஸ்ப்ரெஸ்ஸணை  சேமிக்க இயலவில்லை "
"Wrong order of creation for new backup.","புதிய மறுபிரதியின் வரிசை தவறாக உள்ளது "
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","பராமரிப்பு நிலையை இயலுமைப்படுத்த தங்களுக்கு போதுமான அனுமதி இல்லை "
