"# of Use","Lietošanas skaits"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Prece(s)"
"%s and above","%s and above"
"Category Data","Kategorijas dati"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Kategorijas Preces"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category move error","Kategorijas pārvietošanas kļūda"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Center"
"Change","Mainīt"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Mainīt statusu"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Izvēlieties opciju..."
"Clear All","Clear All"
"Clear Price","Clear Price"
"Click for price","Click for price"
"Close Window","Aizvērt logu"
"Collapse All","Collapse All"
"Comma-separated.","Comma-separated."
"Comparable","Salīdzināms"
"Comparable on Front-end","Salīdzināms priekšlapā"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Salīdzīnāt"
"Compare Products","Preču salīdzinājums"
"Conditions Combination","Nosacījumu kombinācija"
"Configurable Product","Konfigurējama prece"
"Configurable Product Settings","Konfigurējami preces rekvizīti"
"Configure Product","Configure Product"
"Continue","Turpināt"
"Copy From Configurable","Kopēt no konfigurējamā"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Izveidot tukšu"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Product Settings","Izveidot preces rekvizītus"
"Create Simple Associated Product","Izveidot vienkārši saistītu preci"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Create new attribute"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","krustpārdošana"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Pielāgots dizains"
"Custom Options","Custom Options"
"Custom options","Custom options"
"Customer Group","Klientu grupa"
"Customers Reviews","Klientu apskati"
"Customers Tagged Product","Preces ar klientu piešķirtām birkām"
"Data Type for Saving in Database","Datu tips saglabāšanai datubāzē"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Parakstīšanās datums"
"Datetime","Datums/laiks"
"Decimal","Decimāls"
"Declare attribute value saving scope","Deklarēt atribūta vērtību saglabāšanas sfēru"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Noklusētais daudzums"
"Default Values","Noklusētās vērtības"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Izdzēst"
"Delete Attribute","Dzēst atribūtu"
"Delete Attribute Set","Dzēst atribūtu komplektu"
"Delete Category","Dzēst kategoriju"
"Delete Group Price","Delete Group Price"
"Delete Option","Dzēst opciju"
"Delete Row","Delete Row"
"Delete Search","Dzēst meklējumu"
"Delete Selected Group","Dzēst izvēlēto grupu"
"Delete Tier","Delete Tier"
"Delete attribute","Delete attribute"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Dizains"
"Details","Details"
"Disabled","Aizliegts"
"Disallowed file type.","Disallowed file type."
"Display Actual Price","Display Actual Price"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display Type","Display Type"
"Display in Suggested Terms","Parādīt ierosinātajos noteikumos"
"Double click on a group to rename it","Dubultklikšķis uz grupas lai pārsauktu to"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Downloadable Information","Downloadable Information"
"Duplicate","Duplicēt"
"Duplicate amount found.","Duplicate amount found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicēt tīmekļa vietnes rindu, cenu, klientu grupu un daudzumu"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Mainīt"
"Edit Attribute Set '%s'","Rediģēt atribūtu iestatījumu '%s'"
"Edit Product Attribute","Rediģēt preces atribūtu"
"Edit Product Attribute ""%s""","Rediģēt preces atribūtu ""%s"""
"Edit Search","Rediģēt meklēšanu"
"Edit Search '%s'","Rediģēt meklēšanas nosacījumus '%s'"
"Edit Set Name","Edit Set Name"
"Email","E-pasts"
"Email to a Friend","Nosūtīt draugam"
"Empty","Tukšs"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Atļauts"
"Error during retrieval of option value: %s","Kļūda saņemot opcijas vērtību: %s"
"Exclude","Izslēgt"
"Expand All","Expand All"
"Failed","Nesanāca"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Nesanāca pārvietot failu: %s"
"Feature Products","Reklamēt preces"
"Field is not complete","Field is not complete"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filtrējams (bez rezultātiem)"
"Filterable (with results)","Filtrējams (ar rezultātiem)"
"First Name","Vārds"
"Fixed","Salabots"
"For internal use.","For internal use."
"For the last time placed.","For the last time placed."
"Frontend","Klientu lapa"
"Frontend Model","Klientu lapas modelis"
"Frontend Properties","Klientu lapas rekvizīti"
"Gallery","Galerija"
"General Information","Vispārēja informācija"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Globāls"
"Globally Editable","Globāli rediģējams"
"Go to Home Page","Doties Uz Sākumlapu"
"Grid","Tabulu"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Grupēts produkts"
"Groups","Grupas"
"Home","Sākumlapa"
"ID","NPK"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Bilde"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","Attēla tipu un informāciju vajag norādīt katram veikala skatam"
"In Cart","In Cart"
"In Stock","Ir noliktavā"
"In stock","Ir noliktavā"
"Incl. Tax","Incl. Tax"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"Integer","Vesels"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Neparaizi norādīts veikals"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventārs"
"Is Default","Ir noklusētais lielums"
"Is Required","Is Required"
"Items %s to %s of %s total","Preces no %s līdz %s; (kopā  %s)"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Lietām, kuras nevēlieties rādīt katalogā vai meklēšanas rezultātos, jābūt stausam ""Neaktīvs"" izvēlētajā veikalā."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Uzraksts"
"Last Name","Uzvārds"
"Last Notification","Pēdēja paziņošana"
"Layered Navigation","Layered Navigation"
"Learn More","Lasīt vairāk"
"Line %d, Email: %s","Līnija %d, e-pasts: %s"
"Line %d, SKU: %s","Līnija %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","Sarakstu"
"List Mode","Saraksta režīms"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","Vadīt atribūtu uzstādījumus"
"Manage Attributes","Vadīt atribūtus"
"Manage Catalog Categories","Vadīt kataloga kategorijas"
"Manage Categories","Vadīt kategorijas"
"Manage Label / Options","Vadīt uzrakstu/opcijas"
"Manage Options (values of your attribute)","Vadīt opcijas (Jūsu atribūta vērtības)"
"Manage Product Attributes","Vadīt preces atribūtus"
"Manage Product Sets","Vadīt preču komplektus"
"Manage Products","Vadīt preces"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Vadīt virsrakstus (izmērs, krāsa, u.c.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maksimālais pirkuma daudzums"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters:","Maximum number of characters:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Media Image","Mēdija attēls"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimālais pirkuma daudzums"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Vairāk skatu"
"Move","Move"
"Move category in tree","Move category in tree"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Must be in the allowed values list."
"N/A","N/A"
"Name","Nosaukuma"
"Name in %s","Name in %s"
"New Product","Jauna prece"
"New Product Attribute","Jauns preces atribūts"
"New Products","Jaunas preces"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","Jauna meklēšana"
"New Set Name","Jauna nosaukuma iestatīšana"
"New Subcategory","New Subcategory"
"New products","New products"
"Next","Nākamais"
"No","Nē"
"No image","Nav attēla"
"No layout updates","Nav maketa jauninājumu"
"No options of this product are available.","Precei opcijas nav pieejamas."
"No product collections found.","No product collections found."
"None","Neviens"
"Not Visible Individually","Not Visible Individually"
"Notify Low Stock RSS","Paziņot zemu noliktavas atlikumu RSS"
"Notify for Quantity Below","Paziņot par daudzumu zemāk"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Number of Uses","Lietošanas reizes"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","OK"
"OR","vai"
"Old Price:","Vecā cena:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Option:","Opcija:"
"Options","Opcijas"
"Options Control","Opciju kontrole"
"Options is required","Obligātās opcijas"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Nav noliktavā"
"Out of stock","Nav noliktavā"
"PM","PM"
"Page Title Separator","Lapu virsrakstu atdalītājs"
"Parent Category","Vecāku kategorija"
"Pending","Gaida apstrādi"
"Pending Reviews RSS","Gaidošie apskati RSS"
"Percentage","Procenti"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Lūdzu ievadiet jaunās grupas nosaukumu"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Please select a static block ..."
"Please select items.","Please select items."
"Please select one or more attributes.","Lūdzu izvēlieties vienu vai vairāk atribūtus."
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","Lūdzu iestatiet preces priekš atribūtu atjaunošanas"
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Please wait..."
"Position","Pozīcija"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Atribūta pozīcija slāņotajā navigācijas blokā"
"Prev","Iepriekšējais"
"Previous","Iepriekšējā"
"Price","Cenas"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Price Type"
"Price is not available","Price is not available"
"Price values for options should be specified in system base currency.","Cenu vērtības opcijām jādefinē sistēmas bāzes valūtā."
"Price:","Cena:"
"Price: %s","Price: %s"
"Print This Page","Drukāt šo lapu"
"Product","Product"
"Product API","Product API"
"Product Alerts","Preces brīdinājumi"
"Product Attribute","Preces atribūts"
"Product Attributes","Preces atribūti"
"Product Categories","Preces kategorijas"
"Product Description","Preces apraksts"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image Placeholders","Preču bilžu vieta"
"Product Image Watermarks","Produktu bilžu ūdenszīmes"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Preces tīmekļa vietnēs"
"Product Info Column","Product Info Column"
"Product Information","Preces informācija"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Preces nosaukums"
"Product Prices","Product Prices"
"Product Reviews","Preces apskati"
"Product Tags","Preces birkas"
"Product Tier Price API","Product Tier Price API"
"Product Type","Preces tips"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Prece ar šādu atribūtu kombināciju jau ir konfigurējama."
"Products","Preces"
"Products Comparison List","Products Comparison List"
"Products Information","Preces informācija"
"Products Reviews","Preču apskati"
"Products Sitemap","Preču vietnes karte"
"Products only","Tikai preces"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Properties","Rekvizīti"
"Qty","Skaits"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","Daudzums decimālskaitļos"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Qty:"
"Quantity","Quantity"
"Quick Create","Ātrā izveidošana"
"Quick Overview","Īss apraksts"
"Quick simple product creation","Ātrā preces parauga izveidošana"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Pārvirzīšana"
"Redirect URL","Pārvirzīšanas URL"
"Regular Price:","Regulārā cena:"
"Related Products","Saistītās preces"
"Remove","Izmest"
"Remove Product From Websites","Dzēst preci no tīmekļa vietnēm"
"Remove This Item","Dzēst šo lietu"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Nonullēšana"
"Results","Rezultāti"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
