"* Required Fields","* Obilgāti aizpildāmie lauki"
"Comment","Komentārs"
"Contact Form","Kontaktu forma"
"Contact Information","Kontakta informācija"
"Contact Us","Kontakti"
"Contact Us Form","Sazinies ar mums forma"
"Contacts","Kontakti"
"Contacts Section","Kontaktu sekcija"
"Email","E-pasts"
"Email Options","E-pasta opcijas"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Enable Contact Us","Atļaut sazināties ar mums"
"Name","Vārds"
"Send Emails To","E-pastus sūtīt"
"Submit","Nosūtīt"
"Telephone","Tālrunis"
"Unable to submit your request. Please, try again later","Neizdevās apstrādāt jūsu pieprasījumu. Lūdzu vēlāk mēģiniet vēlreiz."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Jūsu ziņa tika nosūtīja un uz to tiks atbildēts cik vien ātri iespējams.
Paldies!"
