"%s","%s"
"%s already exist.","%s finns redan."
"%s already exists.","%s finns redan."
"-- Please Select --","-- Vänligen välj --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Varning!</strong> I vissa fall så fungerar inte Javascript korrekt om CDN inte körs i en subdomän till bas URL."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Varning!</strong> När man använder butikskod i URL:er så kan i vissa fall systemet inte fungera korrekt om URL:er utan butikskod har angetts i 3:e partstjänster såsom Paypal."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Lägg till hemlig nyckel i URL:er"
"Add Store Code to Urls","Lägg till butikskod till URL:er"
"Admin","Admin"
"Admin Base URL","Admin bas URL"
"Admin User Emails","E-post adminanvändare"
"Advanced","Avancerad"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.",""
"Allow Countries","Tillåt länder"
"Allow Symlinks","Allow Symlinks"
"Allowed IPs (comma separated)","Tillåtna IP nummer (separerade med komma)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tillåtna filformat: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Alla format stöds inte av alla webbläsare!"
"Allows customers to stay logged in when switching between different stores.","Tillåter kunder att förbli inloggade när de byter till en annan butik."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativ text för länk Nästa i sidindelningsmeny. Om fältet är tomt så används förvald pil som bild istället."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativ text för länk Föregående i sidindelningsmeny. Om fältet är tomt så används förvald pil som bild istället."
"An error occurred while saving. Please review the error log.","Ett fel uppstod vid spara. Granska felloggen för mer info."
"Anchor Text for Next","<a> text för Nästa"
"Anchor Text for Previous","<a> text för Föregående"
