"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d règles de prix catalogue basées sur l'attribut ""%s"" ont été désactivées."
"Actions","Actions"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"An error occurred while deleting the rule. Please review the log and try again.","Erreur lors de la suppression de la règle. Vérifiez les logs et réessayez."
"An error occurred while saving the rule data. Please review the log and try again.","Erreur lors de la sauvegarde de la règle. Vérifiez les logs et réessayez."
"Apply","Appliquer"
"Apply Rules","Appliquer les règles"
"Attribute Set","Jeu d'attributs"
"By Fixed Amount","Remise d'un montant fixe"
"By Percentage of the Original Price","En pourcentage du prix d'origine"
"Catalog","Catalogue"
"Catalog Price Rule","Règle de prix catalogue"
"Catalog Price Rules","Règles de prix catalogue"
"Category","Catégorie"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (laisser vide pour appliquer à tous les produits)"
"Conditions Combination","Combinaison de conditions"
"Customer Groups","Groupes clients"
"Date Expire","Date d'expiration"
"Date From","Entre le"
"Date Start","Date de démarrage"
"Date To","et le"
"Description","Description"
"Discount Amount","Remise"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Enable Discount to Subproducts","Activer les remises sur les sous-produits"
"Expiration Date","Expiration Date"
"From Date","Date de début"
"General Information","Informations générales"
"ID","ID"
"Inactive","Inactif"
"New Rule","Nouvelle règle"
"No","Non"
"Options","Options"
"Priority","Priorité"
"Product Attribute","Attribut du produit"
"Promotions","Promotions"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Save and Apply","Sauvegarder et appliquer"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Start Date","Start Date"
"Status","Statut"
"Stop Further Rules Processing","Ne pas traiter les règles suivantes (non cumulable)"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été sauvegardée."
"The rules have been applied.","Les règles ont bien été appliquées."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Certaines règles ont changé mais n'ont pas pu être appliquées. Cliquez sur 'Appliquer les règles' afin d'en voir le résultat immédiat."
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","Date de fin"
"To Fixed Amount","Nouveau prix en montant fixe"
"To Percentage of the Original Price","Pourcentage du prix original"
"Type","Type"
"Unable to apply rules.","Impossible d'appliquer les règles."
"Unable to find a rule to delete.","Impossible de trouver la règle à supprimer."
"Update Prices Using the Following Information","Mettre à jour les prix en utilisant l'information suivante"
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Website","Site web"
"Websites","Sites web"
"Wrong rule specified.","Mauvaise règle spécifiée"
"Yes","Oui"
