"-OR-","-Oppure-"
"2-pixel perimeter around the header space.","Perimetro attorno allo spazio dell\'header di 2-pixel."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Validazione Carta"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validazione 3D Secure  è richiesta per carte Maestro. Il supporto per carte American Express richiede un accordo addizionale. Per saperne di più vedere <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Inizio accettazione pagamento via PayPal!</a>"
"A case that has been resolved and close requires a reimbursement.","Un caso è stato risolto e chiudo richiede un rimborso."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","È stato eseguito per questa transazione una inversione a causa di una controversia con il  cliente di sospetto imbroglio non autorizzato."
"A reversal has occurred on this transaction because you have given the customer a refund.","È stato eseguito su questa operazione perché hai dato al cliente un rimborso."
"A reversal has occurred on this transaction due to a chargeback by your customer.","È stato eseguito per questa transazione a causa di un chargeback da parte del cliente."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","È stato eseguito per questa transazione a causa di un reclamo circa la transazione dal proprio cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","È stato eseguito per questa transazione a causa del cliente di una garanzia di rimborso."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","È richiesto un valore per la modalità live. Riferirsi al proprio accordo CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Deposito ACH (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","Deposito ACH (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding per recupero fondi dal bilancio del profilo"
"ACH Withdrawal","Prelievo ACH"
"API Authentication Methods","Metodo di autenticazione API"
"API Certificate","Certificato API"
"API Password","Password API"
"API Signature","Firma API"
"API Username","Nome utente API"
"API Uses Proxy","API usa Proxy"
"Ability for buyer to purchase without PayPal account.","Possibilità per l\'acquirente di comprare senza account PayPal."
"Accept credit card and PayPal payments securely.","Accetta carte di credito e pagamenti sicuri con PayPal"
"Accept credit cards, debit cards and PayPal payments securely.","Accetta carte di credito, Bancomat, e pagamenti sicuri con PayPal"
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Accetta pagamenti nel tuo carrello. PayPal elaborerà I pagamenti della tua cart attraverso il Gateway Payflow."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accetta pagamenti con un PCI compliant checkout che mantiene i clienti sul tuo sito"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accetta pagamenti con un PCI-compliant checkout che mantiene i clienti sul tuo sito"
"Accept payments with a completely customizable checkout page.","Accetta pagamenti con una pagina di checkout completamente personalizzabile."
"Accept payments with a completely customizable checkout.","Accetta pagamenti con un checkout completamente personalizzabile."
"Acceptance Mark","Accettazione Mark"
"Acceptance Mark Image","Accettazione immagine Mark"
"Account-to-Account Payment, initiated by PayPal","Pagamento Account-to-Account, iniziato da PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Aggiungi PayPal come un metodo di pagamento addizionale nella tua pagina di checkout per incrementare le tue vendite."
"Add PayPal as an additional payment method to your checkout page.","Aggiungi PayPal come un metodo di pagamento addizionale nella tua pagina di checkout."
"Add another payment method to your existing solution or as a stand-alone option.","Aggiungi un altro metodo di pagamento per la tua soluzione esistente o come una opzione stand-alone."
"Additional Options","Opzioni addizionali"
"Address","Indirizzo"
"Address Verification System Response","Risposta Sistema Verifica Indirizzo"
"Advanced Settings","Impostazioni Avanzate"
"All the address information matched","Tutte le informazioni di indirizzo combaciano"
"Allow in Billing Agreement Wizard","Consenti Wizard Accordo in Fatturazione"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valori consentiti: ""paypal"", ""primario"" (predefinito), tuo_valore_custom (una pagina stile pagamento custom dal tuo account profilo venditore)."
"Allowed Credit Card Types","Typi di carta di credito accettati"
"Also affects mini-shopping cart.","Valido anche per mini-carrello della spesa."
"Ask Customer","Chiedi al cliente"
"Attempted Authentication, Bad Result","Tentativo di autenticazione, Risultato Non Corretto"
"Attempted Authentication, Good Result","Tentativo di autenticazione, Risultato Corretto"
"Auction Payment other than through eBay","Altro Pagamento Asta oltre eBay"
"Authenticated, Bad Result","Autenticato, Risultato Non Corretto"
"Authenticated, Good Result","Autenticato, Risultato Corretto"
"Authorization","Autorizzazione"
"Authorization Honor Period (days)","Autorizzazione periodo onore (giorni)"
"Authorization expired.","Autorizzazione scaduta."
"Authorization transaction is required to void.","È' richiesta autorizzazione Transazione vuota"
"Authorization was voided by merchant.","Autorizzazione annullata dal commerciante."
"Authorized amount of %s.","Quantità autorizzata di %s."
"Authorizing amount of %s is pending approval on gateway.","L\'autorizzazione per la quantità di %s è in attesa di approvazione dal gateway."
"Auto","Automatico"
"AutoSweep","AutoSweep"
"Available Balance","Bilancio Disponibile"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Basic Settings - PayPal Express Checkout","Basic Settings - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Basic Settings - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Basic Settings - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Basic Settings - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Basic Settings - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Basic Settings - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Basic Settings - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Basic Settings - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Basic Settings - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Basic Settings - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Impostazioni di base - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basic Settings - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Basic Settings - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Billing Address","Indirizzo di Fatturazione"
"Billing Agreement Signup","Iscrizione Accordo di Fatturazione"
"Bonus for first ACH Use","Bonus per primo uso ACH"
"Both section above must be complete. ","Entrambe le sezioni sopra devono essere complete."
"Buyer Credit Payment","Pagamento Credito Compratore"
"Buyer claims that a possible duplicate payment was made to the merchant.","Il compratore sostiene che un possibile pagamento duplicato è stato fatto per il commerciante"
